source,target,weight,sign,type,gate,evidence_basis,primary_source
SAT,MOT_IF,0.60,+,cascade,none,"Satisfied needs energize intrinsic, growth-oriented goals","Ryan & Deci (2000); Szalma (2020)"
FRU,MOT_IF,0.50,+,cascade,none,"Frustrated needs generate deficit-driven, controlled motivation","Vansteenkiste & Ryan (2013)*; Güss et al. (2017)"
FRU,MECH_SUB,0.55,+,cascade,none,"Blocked needs trigger compensatory substitutes","Vansteenkiste & Ryan (2013)*; Ward & Lasen (2009)"
MECH_SUB,OUT_IB,0.40,+,cascade,none,"Need substitutes correlate with defensive, extrinsic patterns","Vansteenkiste & Ryan (2013)*; Ward & Lasen (2009)"
NEED_PHY,MECH_PRI,0.70,+,cascade,none,"Existence deficits seize priority most strongly","Maslow (1943)*; Kenrick et al. (2010)"
NEED_SAF,MECH_PRI,0.65,+,cascade,situational-trigger,"Threat cues situationally capture priority","Kenrick et al. (2010)"
NEED_REL,MECH_PRI,0.50,+,cascade,life-stage,"Relational deficits raise salience; life-stage weighted","Kenrick et al. (2010); Baumeister & Leary (1995)*"
NEED_EST,MECH_PRI,0.45,+,cascade,life-stage,"Status deficits raise salience in relevant stages/contexts","Kenrick et al. (2010)"
MECH_PRI,MOT_IF,0.65,+,cascade,none,"Priority ordering sets goal salience for the motivation stratum","Szalma (2020); Kenrick et al. (2010)"
PERS_IF,MECH_STR,0.60,+,cascade,acquired-over-development,"Traits and learning history set dispositional need strengths","McClelland (1961)*; Montag et al. (2020)"
MECH_STR,MECH_PRI,0.55,+,cascade,none,"Dispositional strength modulates priority ordering","McClelland (1961)*; Rybnicek et al. (2019)"
MECH_STR,MOT_IF,0.55,+,cascade,none,"Reward-need fit amplifies motivational response (neural evidence)","Rybnicek et al. (2019)"
SAT,SAT,0.45,+,autoregressive,none,"Satisfaction spirals: fulfilled needs support skills and bonds that fulfill further; Axiom 4","Ryan & Deci (2000); Vansteenkiste et al. (2020)*"
FRU,FRU,0.50,+,autoregressive,none,"Frustration self-perpetuates via defensive preoccupation; Axiom 4","Vansteenkiste & Ryan (2013)*"
OUT_WB,CTX_ENV,0.35,+,transactional,none,"Flourishing people select and build supportive contexts","Ryan & Deci (2000); Dunton et al. (2023)"
