source,target,weight,sign,type,gate,evidence_basis,primary_source
AVD,SUB_EMO1,0.65,-,cascade,none,"Avoidance/threat state lowers core-affect valence (signed superposition)","Russell (2003)*"
MECH_ATTR,SUB_APP2,0.65,+,cascade,developmental,"Causal ascriptions feed the secondary appraisal of outcomes","Weiner (1985)"
MECH_ATTR,SUB_EMO2,0.70,+,cascade,none,"Attributions generate outcome-specific emotions (pride, shame, guilt, anger, gratitude, hopelessness)","Weiner (1985)"
MECH_ATTR,SUB_MOT3,0.60,+,cascade,none,"Stability attributions change expectancy and thus persistence","Weiner (1985)"
MECH_SAL,BAS,0.70,+,cascade,situational,"Incentive salience adds motivational urgency to the approach channel","Berridge (2018)"
MECH_SAL,SUB_MOT2,0.60,+,cascade,none,"Wanting amplifies motivational intensity","Berridge (2018)"
MECH_SAL,MECH_SAL,0.45,+,cascade,none,"Incentive-sensitization: wanting begets wanting (self-loop, Axiom 4)","Berridge (2018)"
SUB_EMO6,MECH_SAL,0.35,+,cascade,none,"Liking weakly informs wanting; the two dissociate","Berridge (2018)"
MECH_LEARN,APPR,0.65,+,cascade,developmental,"Value updating revises appraised reward/punisher expectations","Rolls (2025); Berridge (2018)"
MECH_LEARN,MECH_SAL,0.50,+,cascade,none,"Learned cues acquire incentive salience","Berridge (2018)"
OUT_ACT,MECH_LEARN,0.60,+,cascade,none,"Action outcomes feed reinforcement learning","Rolls (2025)"
MECH_REG,APPR,0.60,-,cascade,developmental,"Reappraisal down-regulates threatening appraisals (antecedent-focused regulation)","Gross (1998)*; Lazarus (1991)"
MECH_REG,EMO,0.55,-,cascade,developmental,"Response-focused regulation dampens the emotion readout","Gross (1998)*"
MECH_REG,SUB_MOT3,0.45,+,cascade,none,"Regulation supports goal persistence under adversity","Gross (1998)*"
MOT,OUT_ACT,0.80,+,cascade,none,"Motivation produces instrumental, goal-directed action","Rolls (2025)"
SUB_EMO4,OUT_ACT,0.65,+,cascade,none,"Action tendencies discharge into behavior","Frijda (1986)*"
SUB_EMO3,SYS_IF,0.55,+,transactional,none,"Emotional expression communicates state to the environment (Emotion II)","Buck (1985); Ekman (1992)*"
SUB_EMO1,SUB_EMO2,0.60,+,cascade,none,"Core affect is categorized into discrete emotion (construction)","Russell (2003)*; Barrett (2017)*"
SUB_EMO1,SUB_APP1,0.40,+,cascade,none,"Current core affect biases subsequent appraisal (mood-congruence; broaden/narrow)","Fredrickson (2001)*; Lazarus (1991)"
SUB_EMO1,SUB_EMO1,0.40,+,cascade,none,"Affective momentum: mood persists and self-perpetuates (self-loop, Axiom 4)","Fredrickson (2001)*"
MOT,MOT,0.35,+,cascade,none,"Goal engagement builds commitment and momentum (self-loop, Axiom 4)","Bandhu et al. (2024)"
AVD,DIS_IF,0.60,+,cascade,situational,"Chronic threat/avoidance and fearful salience feed anxiety and paranoia","Berridge (2018)"
MECH_SAL,DIS_IF,0.60,+,cascade,situational,"Dysregulated wanting drives addiction","Berridge (2018)"
SUB_EMO6,DIS_IF,0.55,-,cascade,none,"Low hedonic impact (anhedonia) is a depression pathway; protective when high","Berridge (2018)"
MECH_ATTR,DIS_IF,0.55,+,cascade,none,"Maladaptive attributional style (internal-stable-global for failure) yields hopelessness","Weiner (1985); Abramson et al. (1989)*"
MECH_REG,DIS_IF,0.60,-,cascade,none,"Effective regulation lowers disorder risk; dysregulation raises it","Gross (1998)*"
EMO,DIS_IF,0.45,+,cascade,none,"Sustained negative-emotion readout contributes to internalizing risk","Gross (1998)*; Barrett (2017)*"
THER_IF,MECH_REG,0.65,+,transactional,none,"Therapy operates through regulation: reappraisal, behavioral activation, exposure","Gross (1998)*; Lazarus (1991)"
