node_id,label,level,parent,function,approach_ancestry,evidence_weight,process_weight,primary_source
S0507,Relationships + Context,1,N05,"Interpersonal and contextual inputs to triggers and meanings","Systemic; IPT; cultural formulation",4,5,"Norcross & Goldfried (2019)"
S0508,Protective Factors,1,N05,"Strengths and buffers that dampen consequences","Strengths-based; recovery-oriented",3,4,"Eells (2022)"
S0701,Cognitive Change,1,N07,"Restructuring, reappraisal, defusion","CBT; ACT",5,5,"Wampold & Imel (2015); Hayes & Hofmann (2018)"
S0702,Behavioral Change,1,N07,"Activation, exposure, contingency management","Behavioral; CBT; BA",5,5,"Barth et al. (2013)"
S0703,Emotional Processing,1,N07,"Accessing, deepening, transforming emotion","EFT; Gestalt; psychodynamic",4,5,"Norcross & Goldfried (2019)"
S0704,Relational Change,1,N07,"Corrective relational experience; transference work; interpersonal patterns","Psychodynamic; IPT; systemic",4,5,"Norcross & Goldfried (2019)"
S0705,Skills + Regulation,1,N07,"Emotion regulation, distress tolerance, interpersonal skills","DBT; skills training",5,5,"Linehan (2015)"
S0706,Meaning + Identity,1,N07,"Values, narrative, identity integration","ACT; existential; narrative",4,4,"Hayes & Hofmann (2018)"
S0707,Context Change,1,N07,"Environmental, family, systemic modification","Systemic; community approaches",4,4,"Norcross & Goldfried (2019)"
S0901,Symptom Tracking,1,N09,"Repeated standardized symptom measurement","Measurement-based care",5,5,"Lambert et al. (2018)"
S0902,Functioning Tracking,1,N09,"Role, social, occupational functioning","Measurement-based care",4,5,"Lambert et al. (2018)"
S0903,Alliance Monitoring,1,N09,"Session-level alliance ratings","Feedback-informed treatment",5,5,"Flückiger et al. (2018); Lambert et al. (2018)"
S0904,Risk Change,1,N09,"Ongoing risk re-screening","DBT; crisis protocols",5,5,"Linehan (2015)"
S0905,Adverse-Effect Detection,1,N09,"Systematic monitoring of negative effects and deterioration","Psychotherapy safety research",4,5,"Strauss et al. (2021); Strauss et al. (2026)"
S0906,Not-on-Track Detection,1,N09,"Algorithmic/clinical flags for expected-trajectory deviation","Feedback-informed treatment",5,5,"Lambert et al. (2018)"
