source,target,weight,sign,type,gate,provenance,evidence_basis,primary_source
PER,ME,0.55,+,cascade,none,"G: PERS_IF→APPR (0.55), PERS_IF→EMO (0.50)","Traits bias appraisal thresholds and affective reactivity (neuroticism raises threat appraisal)","Lazarus (1991); Barrett (2017)*"
PER,DIS,0.60,+,disorder_prior,none,"D→A coupling (README): trait profile → disorder-graph priors; D: TRT_N→OUT_LIFE (−0.45)","Trait profile (high neuroticism, low constraint) is a standing liability prior on the disorder hierarchy","Kotov et al. (2010)*; Hampson (2012)"
PER,SYS,0.60,+,transactional,none,"D: MECH_SEL→CTX_SIT (0.60), MECH_EVO→CTX_SIT (0.50)","Niche selection and evocation: the person builds their effective environment","Buss (1987)*"
SYS,PER,0.50,+,transactional,age-increasing,"D: CTX_SIT→LAYER_ADP (0.50), OUT_LIFE→LAYER_TRT (0.35, corresponsive)","Contexts install and revise adaptations; life experience feeds back into traits","Roberts et al. (2006)*; Mischel & Shoda (1995)*"
SYS,NEED,0.60,+,transactional,situational,"H: MICRO→NEEDS_IF (0.60)","Support channel: immediate settings supply the commodities the needs system requires","Jordans (2025); Bronfenbrenner (1977)"
SYS,NEED,0.65,-,social_determinant,dev_window,"H: SOC_DETERM→NEEDS_IF (0.65, thwart); sign restated algebraically on the satisfaction channel","Thwart channel: deprivation and food insecurity frustrate existence and safety needs and mediate poverty's mental-health effect","Nagpaul et al. (2021); Mani et al. (2013)"
SYS,ME,0.60,+,transactional,situational,"H: MICRO→ME_IF (0.60); G: SYS_IF→APPR (0.75)","Support channel: the situation is the appraised stimulus field feeding the valuation core","Shah et al. (2018); Lazarus (1991)"
SYS,ME,0.60,-,social_determinant,situational,"H: SOC_DETERM→ME_IF (0.60, thwart); sign restated algebraically on adaptive appraisal","Thwart channel: scarcity captures attention and biases appraisal toward threat and lack","Mani et al. (2013); Shah et al. (2018)"
SYS,DEV,0.70,+,transactional,historical,"H: CHRONO→DEV_IF (0.70), PROX_PROC→DEV_IF (0.65, dev_window)","Ecological transitions and proximal processes are the environment's engines and gates of development","Bronfenbrenner (1977)"
SYS,DIS,0.60,+,disorder_prior,dev_window,"H: FAM→DIS_IF (0.60), SOC_DETERM→DIS_IF (0.60), INEQ→DIS_IF (0.50); H's wellbeing-valence signs restated algebraically (adversity raises disorder activation)","Fourth (environmental) class of disorder priors: maladaptive family process and socioeconomic adversity","Szapocznik et al. (2012); Siegel (2008)"
ME,DIS,0.60,+,disorder_prior,situational,"G: AVD→DIS_IF (0.60), MECH_SAL→DIS_IF (0.60), SUB_EMO6→DIS_IF (−0.55), MECH_ATTR→DIS_IF (0.55), MECH_REG→DIS_IF (−0.60), EMO→DIS_IF (0.45)","Third and most mechanistic prior: dysregulated wanting, deficient liking, fearful salience, maladaptive attribution, emotion dysregulation; protective (signed) content in subgraph","Berridge (2018); Weiner (1985); Gross (1998)*"
ME,SYS,0.55,+,transactional,none,"G: SUB_EMO3→SYS_IF (0.55); H: PERSON_IF→BOUNDARY (0.55)","Expression and action emit the person's state back into the structurally coupled environment","Buck (1985); Maturana, Varela & Uribe (1974)"
DIS,THER,0.70,+,transactional,situational,"B: N01 Entry/Triage is symptom- and impairment-driven","Symptom burden initiates and steers treatment seeking and triage","APA Presidential Task Force (2006); Eells (2022)"
DIS,NEED,0.45,-,feedback,none,"New at composition (J)","Symptoms and impairment frustrate needs: withdrawal frustrates relatedness, avolition frustrates competence","Vansteenkiste & Ryan (2013)*"
DIS,SYS,0.45,-,feedback,none,"New at composition (J)","Selection/drift: disorder erodes settings — job loss, network shrinkage, downward socioeconomic mobility","Dohrenwend et al. (1992)*"
THER,DIS,0.65,-,treatment,none,"B: change work N07 → outcome edges; UTG common-factor efficacy backbone","Treatment reduces disorder activation and rewrites its maintaining edges (structural surgery on W)","Frank & Frank (1991)*; Wampold & Imel (2015)*"
THER,ME,0.65,+,treatment,none,"G: THER_IF→MECH_REG (0.65)","Therapy operates through the regulation mechanism: reappraisal, behavioral activation, exposure","Gross (1998)*; Moutoussis et al. (2017)"
THER,SYS,0.60,+,treatment,none,"H: LEVERAGE→THER_IF (0.75), FAM→THER_IF (0.65)","Systemic therapy and systems-level intervention act on the environment as the treatment lever","Retzlaff et al. (2013); Szapocznik et al. (2012)"
THER,TEM,0.45,+,treatment,none,"E→B coupling (README): FIT node is the therapy lever","Goodness-of-fit counseling changes environmental demands, not temperament itself","McClowry et al. (2008); Chess & Thomas (1989)"
THER,PER,0.40,+,treatment,none,"New at composition (J)","Therapy produces measurable trait change, especially neuroticism reduction, at meta-analytic scale","Roberts et al. (2017)*"
THER,NEED,0.45,+,treatment,none,"New at composition (J)","Need-supportive therapeutic relationships restore relatedness, autonomy, and competence satisfaction","Ryan & Deci (2017)*"
TEM,TEM,0.45,+,autoregressive,age-increasing,"E: DIM_NA/DIM_SU (0.45), DIM_EC (0.50) self-loops","Moderate, age-rising stability of reactivity set-points; Axiom 4","Murillo et al. (2024); Rettew & McKee (2005)"
DEV,DEV,0.50,+,autoregressive,none,"C: DOM_COG (0.50), DOM_SOC (0.45), DOM_PHY (0.40) self-loops","Skills beget skills: canalization and cumulative advantage; Axiom 4","Masten & Cicchetti (2010)*; Gottlieb (2007)*"
PER,PER,0.70,+,autoregressive,age-increasing,"D: LAYER_TRT self-loop (0.70)","Cumulative continuity: rank-order stability rising with age; Axiom 4","Roberts & DelVecchio (2000)*"
NEED,NEED,0.35,+,autoregressive,none,"F: dynamic-prioritization mechanism; unmet needs re-assert","Deficit persistence: an unmet need re-enters the priority queue until satisfied; Axiom 4","Maslow (1943)*; Kenrick et al. (2010)"
ME,ME,0.35,+,autoregressive,none,"G: 3 self-loops (mood inertia, incentive sensitization, regulation habit)","Mood inertia and incentive sensitization; Axiom 4","Kuppens et al. (2010)*; Berridge (2018)"
DIS,DIS,0.30,+,autoregressive,none,"A: SP_INT (0.30), SP_DIS (0.25) self-loops","Self-maintaining symptom loops (hysteresis of the disorder attractor); Axiom 4","Borsboom (2017)*"
SYS,SYS,0.50,+,autoregressive,none,"H: 3 self-loops (homeostasis, structural reproduction, autopoiesis)","Systems reproduce their own structure; Axiom 4","Maturana, Varela & Uribe (1974); Laszlo & Krippner (1998)"
